Rk,Player,Age,Team,Pos,G,FG%,3P,ORB,DRB,TRB,AST,STL,BLK,PTS,Awards,Player-additional
215,Ben Sheppard,23,IND,SG,63,.418,1.1,0.7,2.1,2.8,1.3,0.6,0.2,5.3,,sheppbe01
216,Jabari Walker,22,POR,SF,60,.515,0.5,1.0,2.5,3.5,0.6,0.6,0.1,5.2,,walkeja01
217,Javonte Green,31,2TM,SG,68,.429,0.7,0.9,2.3,3.2,0.8,1.0,0.5,5.1,,greenja02
218,Neemias Queta,25,BOS,C,62,.650,0.0,1.4,2.4,3.8,0.7,0.3,0.7,5.0,,quetane01
219,Julian Phillips,21,CHI,SF,79,.446,0.6,0.8,1.3,2.1,0.5,0.5,0.3,4.6,,phillju01
220,Drew Eubanks,27,2TM,C,61,.593,0.0,1.0,2.7,3.7,0.9,0.2,0.6,4.6,,eubandr01
221,Kevon Looney,28,GSW,C,76,.514,0.0,2.4,3.6,6.1,1.6,0.6,0.5,4.5,,looneke01
222,Mason Plumlee,34,PHO,C,74,.619,0.0,1.6,4.6,6.1,1.8,0.4,0.6,4.5,,plumlma01
223,Dalen Terry,22,CHI,SG,73,.448,0.5,0.5,1.2,1.7,1.3,0.6,0.2,4.5,,terryda01
224,Jett Howard,21,ORL,SF,60,.374,0.9,0.3,0.8,1.2,0.7,0.2,0.2,4.5,,howarje01
225,Oso Ighodaro,22,PHO,PF,61,.604,0.0,1.1,2.6,3.6,1.2,0.5,0.5,4.2,,ighodos01
226,Kris Murray,24,POR,SF,69,.419,0.4,1.1,1.5,2.6,1.0,0.5,0.2,4.2,,murrakr01
227,Caleb Houstan,22,ORL,SF,58,.421,1.1,0.3,1.0,1.3,0.6,0.4,0.1,4.1,,houstca01
228,Nicolas Batum,36,LAC,PF,78,.437,1.1,0.6,2.2,2.8,1.1,0.7,0.5,4.0,,batumni01
229,Steven Adams,31,HOU,C,58,.545,0.0,2.9,2.8,5.6,1.1,0.4,0.5,3.9,,adamsst01
230,Blake Wesley,21,SAS,SG,58,.435,0.3,0.3,0.8,1.1,2.0,0.6,0.1,3.7,,weslebl01
231,Andre Jackson Jr.,23,MIL,SG,67,.477,0.4,1.0,1.7,2.7,1.2,0.5,0.2,3.4,,jacksan01
